Emoji,English,Português,URL
🐜,ant,formiga,https://github.githubassets.com/images/icons/emoji/unicode/1f41c.png?v8
🦡,badger,texugo,https://github.githubassets.com/images/icons/emoji/unicode/1f9a1.png?v8
🦇,bat,morcego,https://github.githubassets.com/images/icons/emoji/unicode/1f987.png?v8
🦫,beaver,castor,https://github.githubassets.com/images/icons/emoji/unicode/1f9ab.png?v8
🪲,beetle,besouro,https://github.githubassets.com/images/icons/emoji/unicode/1fab2.png?v8
🐦,bird,passaro,https://github.githubassets.com/images/icons/emoji/unicode/1f426.png?v8
🦬,bison,bisao,https://github.githubassets.com/images/icons/emoji/unicode/1f9ac.png?v8
🐡,blowfish,baiacu,https://github.githubassets.com/images/icons/emoji/unicode/1f421.png?v8
🐃,buffalo,bufalo,https://github.githubassets.com/images/icons/emoji/unicode/1f403.png?v8
🐛,bug,inseto,https://github.githubassets.com/images/icons/emoji/unicode/1f41b.png?v8
🦋,butterfly,borboleta,https://github.githubassets.com/images/icons/emoji/unicode/1f98b.png?v8
🐫,camel,camelo,https://github.githubassets.com/images/icons/emoji/unicode/1f42b.png?v8
🐈,cat,gato,https://github.githubassets.com/images/icons/emoji/unicode/1f431.png?v8
🐤,chick,pintinho,https://github.githubassets.com/images/icons/emoji/unicode/1f424.png?v8
🐿️,chipmunk,esquilo,https://github.githubassets.com/images/icons/emoji/unicode/1f43f.png?v8
🪳,cockroach,barata,https://github.githubassets.com/images/icons/emoji/unicode/1fab3.png?v8
🪸,coral,coral,https://github.githubassets.com/images/icons/emoji/unicode/1fab8.png?v8
🐄,cow,vaca,https://github.githubassets.com/images/icons/emoji/unicode/1f42e.png?v8
🦀,crab,caranguejo,https://github.githubassets.com/images/icons/emoji/unicode/1f980.png?v8
🦗,cricket,grilo,https://github.githubassets.com/images/icons/emoji/unicode/1f997.png?v8
🐊,crocodile,crocodilo,https://github.githubassets.com/images/icons/emoji/unicode/1f40a.png?v8
🦌,deer,veado,https://github.githubassets.com/images/icons/emoji/unicode/1f98c.png?v8
🦤,dodo,dodo,https://github.githubassets.com/images/icons/emoji/unicode/1f9a4.png?v8
🐕,dog,cachorro,https://github.githubassets.com/images/icons/emoji/unicode/1f436.png?v8
🐬,dolphin,golfinho,https://github.githubassets.com/images/icons/emoji/unicode/1f42c.png?v8
🕊️,dove,pombo,https://github.githubassets.com/images/icons/emoji/unicode/1f54a.png?v8
🐪,dromedary,dromedario,https://github.githubassets.com/images/icons/emoji/unicode/1f42a.png?v8
🦆,duck,pato,https://github.githubassets.com/images/icons/emoji/unicode/1f986.png?v8
🦅,eagle,aguia,https://github.githubassets.com/images/icons/emoji/unicode/1f985.png?v8
🐘,elephant,elefante,https://github.githubassets.com/images/icons/emoji/unicode/1f418.png?v8
🐟,fish,peixe,https://github.githubassets.com/images/icons/emoji/unicode/1f41f.png?v8
🦩,flamingo,flamingo,https://github.githubassets.com/images/icons/emoji/unicode/1f9a9.png?v8
🪰,fly,mosca,https://github.githubassets.com/images/icons/emoji/unicode/1fab0.png?v8
🦒,giraffe,girafa,https://github.githubassets.com/images/icons/emoji/unicode/1f992.png?v8
🐐,goat,cabra,https://github.githubassets.com/images/icons/emoji/unicode/1f410.png?v8
🪿,goose,ganso,https://github.githubassets.com/images/icons/emoji/unicode/1fabf.png?v8
🦍,gorilla,gorila,https://github.githubassets.com/images/icons/emoji/unicode/1f98d.png?v8
🦔,hedgehog,ourico,https://github.githubassets.com/images/icons/emoji/unicode/1f994.png?v8
🦛,hippopotamus,hipopotamo,https://github.githubassets.com/images/icons/emoji/unicode/1f99b.png?v8
🐝,honeybee,abelha,https://github.githubassets.com/images/icons/emoji/unicode/1f41d.png?v8
🐎,horse,cavalo,https://github.githubassets.com/images/icons/emoji/unicode/1f434.png?v8
🪼,jellyfish,medusa,https://github.githubassets.com/images/icons/emoji/unicode/1fabc.png?v8
🦘,kangaroo,canguru,https://github.githubassets.com/images/icons/emoji/unicode/1f998.png?v8
🐞,ladybeetle,joaninha,https://github.githubassets.com/images/icons/emoji/unicode/1f41e.png?v8
🐆,leopard,leopardo,https://github.githubassets.com/images/icons/emoji/unicode/1f406.png?v8
🦎,lizard,lagarto,https://github.githubassets.com/images/icons/emoji/unicode/1f98e.png?v8
🦙,llama,llama,https://github.githubassets.com/images/icons/emoji/unicode/1f999.png?v8
🦞,lobster,lagosta,https://github.githubassets.com/images/icons/emoji/unicode/1f99e.png?v8
🦣,mammoth,mamute,https://github.githubassets.com/images/icons/emoji/unicode/1f9a3.png?v8
🐒,monkey,macaco,https://github.githubassets.com/images/icons/emoji/unicode/1f412.png?v8
🦟,mosquito,mosquito,https://github.githubassets.com/images/icons/emoji/unicode/1f99f.png?v8
🐁,mouse,camundongo,https://github.githubassets.com/images/icons/emoji/unicode/1f42d.png?v8
🐙,octopus,polvo,https://github.githubassets.com/images/icons/emoji/unicode/1f419.png?v8
🦧,orangutan,orangotango,https://github.githubassets.com/images/icons/emoji/unicode/1f9a7.png?v8
🦦,otter,lontra,https://github.githubassets.com/images/icons/emoji/unicode/1f9a6.png?v8
🦉,owl,coruja,https://github.githubassets.com/images/icons/emoji/unicode/1f989.png?v8
🐂,ox,boi,https://github.githubassets.com/images/icons/emoji/unicode/1f402.png?v8
🦜,parrot,papagaio,https://github.githubassets.com/images/icons/emoji/unicode/1f99c.png?v8
